Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn In,Aboard,Fatalities,Ground,Summary,City,state/country,country,
9/17/08,,"Fort Myer, Virginia",Military - U.S. Army,,,Wright Flyer III,,,2,1,,,Fort Myer, Virginia,,
7/12/12,,"AtlantiCity, New Jersey",Military - U.S. Navy,,,Dirigible,,,5,5,,,AtlantiCity, New Jersey,,
8/6/13,,"Victoria, British Columbia, Canada",Private,-,,Curtiss seaplane,,,1,1,,,Victoria, British Columbia, Canada,
9/9/13,,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,,,Over the North Sea,,,
10/17/13,,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,,,Near Johannisthal, Germany,,
3/5/15,,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,,,Tienen, Belgium,,
9/3/15,,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19,19,,,Off Cuxhaven, Germany,,
7/28/16,,"Near Jambol, Bulgeria",Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,20,,,Near Jambol, Bulgeria,,
9/24/16,,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,,,Billericay, England,,
10/1/16,,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,,,Potters Bar, England,,
11/21/16,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28,27,,,Mainz, Germany,,
11/28/16,,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20,20,,,Off West Hartlepool, England,,
3/4/17,,"Near Gent, Belgium",Military - German Army,,,Airship,,,20,20,,,Near Gent, Belgium,,
3/30/17,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,23,,,Off Northern Germany,,,
5/14/17,,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),,,21,21,,,Near Texel Island, North Sea,,
6/14/17,,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),,,24,24,,,Off Vlieland Island, North Sea,,
